Time,Latitude,Longitude,Intensity
19500827  0600,17.9,-133.8,75
19500827  1200,18.0,-134.4,75
19500827  1800,18.1,-135.1,75
19500828  0000,18.3,-135.8,75
19500828  0600,18.5,-136.4,75
19500828  1200,18.6,-137.0,75
19500828  1800,18.7,-137.5,75
19500829  0000,18.8,-138.1,75
19500829  0600,18.9,-138.8,75
19500829  1200,19.0,-139.6,75
19500829  1800,19.1,-140.3,75
19500830  0000,19.3,-141.1,75
19500830  0600,19.5,-142.0,75
19500830  1200,19.7,-143.0,75
19501001  1200,14.0,-108.7,75
19501001  1800,14.7,-109.0,75
19501002  0000,15.2,-109.4,75
19501002  0600,15.4,-109.7,75
19501002  1200,15.6,-110.0,75
19501002  1800,15.9,-110.4,75
19501003  0000,16.2,-110.9,75
19501003  0600,16.5,-111.4,75
19501003  1200,16.9,-111.9,75
19510517  1200,11.0,-104.4,45
19510517  1800,11.5,-104.3,45
19510518  0000,12.1,-104.1,45
19510518  0600,12.8,-103.9,45
19510518  1200,13.6,-103.8,45
19510518  1800,14.3,-103.6,45
19510519  0000,15.0,-103.3,45
19510519  0600,15.5,-103.1,45
19510519  1200,15.9,-103.0,45
19510519  1800,16.4,-102.9,45
19510520  0000,16.9,-102.8,45
19510520  0600,17.4,-102.6,45
19510520  1200,17.8,-102.4,45
19510520  1800,18.1,-102.0,45
19510521  0000,18.3,-101.4,45
19510601  0000,13.8,-95.7,75
19510601  0600,14.7,-97.4,75
19510601  1200,15.6,-98.8,75
19510601  1800,16.7,-99.9,75
19510602  0000,17.8,-100.5,75
19510626  1200,16.7,-100.8,45
19510626  1800,16.9,-101.5,45
19510627  0000,17.0,-102.2,45
19510627  0600,17.1,-103.0,45
19510627  1200,17.2,-103.8,45
19510705  1200,16.7,-104.1,45
19510705  1800,17.2,-105.0,45
19510706  0000,17.8,-105.8,45
19510706  0600,18.4,-106.4,45
19510706  1200,19.0,-106.9,45
19510803  1200,10.6,-94.5,45
19510803  1800,11.0,-95.4,45
19510804  0000,11.5,-96.2,45
19510804  0600,11.9,-96.9,45
19510804  1200,12.3,-97.7,45
19510804  1800,12.5,-98.7,45
19510805  0000,12.7,-100.1,45
19510805  0600,12.9,-101.9,45
19510805  1200,13.4,-103.8,45
19510805  1800,14.2,-105.6,45
19510806  0000,15.1,-107.3,45
19510806  0600,16.0,-108.8,45
19510806  1200,16.9,-110.2,45
19510806  1800,17.3,-111.2,45
19510807  0000,17.5,-112.2,45
19510807  0600,17.5,-113.8,45
19510807  1200,17.5,-115.3,45
19510807  1800,17.7,-116.6,45
19510808  0000,18.0,-117.8,45
19510808  0600,18.2,-118.7,45
19510808  1200,18.4,-119.7,45
19510808  1800,18.6,-121.0,45
19510809  0000,18.8,-122.3,45
19510809  0600,19.1,-123.5,45
19510809  1200,19.4,-124.8,45
19510809  1800,19.5,-125.8,45
19510810  0000,19.6,-126.8,45
19510810  0600,19.7,-127.9,45
19510810  1200,19.7,-129.0,45
19510824  1200,15.6,-101.0,45
19510824  1800,16.6,-103.4,45
19510825  0000,17.4,-105.1,45
19510825  0600,17.9,-106.2,45
19510825  1200,18.5,-107.3,45
19510825  1800,19.2,-108.5,45
19510826  0000,20.0,-109.7,45
19510826  0600,20.8,-110.9,45
19510826  1200,21.6,-112.0,45
19510826  1800,22.1,-113.6,45
19510827  0000,22.5,-115.1,45
19510827  0600,23.3,-115.6,45
19510827  1200,24.3,-115.8,45
19510827  1800,25.6,-115.9,45
19510828  0000,26.9,-116.0,45
19510828  0600,27.9,-116.0,45
19510828  1200,28.8,-116.0,45
19510828  1800,29.9,-115.8,45
19510829  0000,31.0,-115.5,45
19510829  0600,31.7,-115.3,25
19510829  1200,31.9,-115.2,25
19510911  1200,17.1,-105.6,45
19510911  1800,17.9,-105.6,45
19510912  0000,18.6,-105.7,45
19510912  0600,19.2,-105.7,45
19510912  1200,19.8,-105.8,45
19510912  1800,20.4,-106.2,45
19510913  0000,20.9,-106.7,45
19510913  0600,21.2,-106.9,45
19510913  1200,21.4,-107.2,45
19510913  1800,21.6,-107.5,45
19510914  0000,21.8,-107.8,45
19510914  0600,21.9,-108.1,45
19510914  1200,21.9,-108.4,45
19510914  1800,21.8,-108.8,45
19510915  0000,21.7,-109.4,45
19510915  0600,21.7,-110.2,45
19510915  1200,21.9,-110.9,45
19510923  1200,13.4,-100.7,75
19510923  1800,13.5,-101.7,75
19510924  0000,13.8,-102.6,75
19510924  0600,14.3,-103.3,75
19510924  1200,14.8,-104.0,75
19510924  1800,15.2,-105.0,75
19510925  0000,15.5,-106.1,75
19510925  0600,15.7,-107.1,75
19510925  1200,16.0,-108.0,75
19510925  1800,16.3,-109.1,75
19510926  0000,16.7,-110.2,75
19510926  0600,17.2,-111.5,75
19510926  1200,17.8,-112.8,75
19510926  1800,18.2,-113.5,75
19510927  0000,18.6,-114.1,75
19510927  0600,19.0,-114.8,75
19510927  1200,19.4,-115.6,75
19510927  1800,19.6,-116.4,75
19510928  0000,19.7,-117.3,75
19510928  0600,19.8,-118.5,75
19510928  1200,19.9,-119.9,75
19511127  1200,14.0,-104.0,45
19511127  1800,14.5,-105.0,45
19511128  0000,15.1,-105.9,45
19511128  0600,15.9,-106.7,45
19511128  1200,16.7,-107.2,45
19511128  1800,17.3,-107.6,45
19511129  0000,17.9,-107.9,45
19511129  0600,18.7,-108.2,45
19511129  1200,19.6,-108.5,45
19511129  1800,20.9,-108.8,45
19511130  0000,22.2,-108.9,45
19511130  0600,23.1,-108.9,45
19511130  1200,24.0,-108.9,45
19520529  1200,12.9,-112.7,45
19520529  1800,13.5,-112.2,45
19520530  0000,14.1,-111.7,45
19520530  0600,14.8,-111.2,45
19520530  1200,15.4,-110.7,45
19520530  1800,16.0,-110.1,45
19520531  0000,16.6,-109.4,45
19520531  0600,17.1,-108.8,45
19520531  1200,17.5,-108.1,45
19520612  1200,14.6,-99.3,45
19520612  1800,14.8,-100.0,45
19520613  0000,15.1,-100.7,45
19520613  0600,15.6,-101.3,45
19520613  1200,16.1,-101.9,45
19520613  1800,16.3,-102.7,45
19520614  0000,16.5,-103.6,45
19520614  0600,16.8,-104.2,45
19520614  1200,17.1,-104.8,45
19520614  1800,17.3,-105.7,45
19520615  0000,17.4,-106.6,45
19520615  0600,17.5,-107.3,45
19520615  1200,17.7,-107.7,45
19520615  1800,18.0,-107.9,45
19520616  0000,18.3,-108.0,45
19520616  0600,18.6,-108.0,45
19520616  1200,19.0,-108.0,45
19520719  0000,19.5,-108.7,45
19520719  0600,20.2,-109.6,45
19520719  1200,20.7,-110.5,45
19520719  1800,21.1,-111.3,45
19520720  0000,21.4,-112.1,45
19520720  0600,21.7,-112.9,45
19520720  1200,22.0,-113.6,45
19520720  1800,22.4,-114.4,45
19520721  0000,22.8,-115.1,45
19520724  0000,16.5,-115.0,75
19520724  0600,16.8,-115.4,75
19520724  1200,17.0,-115.8,75
19520724  1800,17.1,-116.3,75
19520725  0000,17.1,-116.8,75
19520725  0600,17.2,-117.7,75
19520725  1200,17.4,-118.6,75
19520725  1800,17.6,-119.2,75
19520726  0000,17.8,-119.8,75
19520726  0600,18.2,-121.0,75
19520726  1200,18.6,-122.2,75
19520726  1800,19.2,-123.6,75
19520727  0000,20.0,-125.0,75
19520915  1200,17.6,-108.1,75
19520915  1800,18.5,-109.3,75
19520916  0000,19.2,-110.2,75
19520916  0600,19.8,-110.9,75
19520916  1200,20.4,-111.5,75
19520916  1800,21.0,-111.9,75
19520917  0000,21.5,-112.3,75
19520917  0600,21.8,-112.9,75
19520917  1200,22.0,-113.6,75
19520917  1800,22.2,-114.2,75
19520918  0000,22.5,-114.8,75
19520918  0600,22.7,-115.5,75
