Time,Latitude,Longitude,Intensity
19830930  1200,15.2,-158.3,45
19830930  1800,14.8,-159.7,55
19831001  0000,14.7,-161.2,25
19830927  1800,11.8,-118.3,25
19830928  0000,12.2,-119.4,30
19830928  0600,12.6,-120.3,30
19830928  1200,12.9,-121.1,30
19830928  1800,13.5,-121.7,40
19830929  0000,14.2,-121.9,45
19830929  0600,14.6,-121.9,40
19830929  1200,14.9,-121.7,40
19830929  1800,15.1,-121.4,40
19830930  0000,15.4,-121.1,35
19830930  0600,15.7,-120.8,35
19830930  1200,16.0,-120.4,35
19830930  1800,16.6,-119.8,30
19831001  0000,17.6,-119.4,30
19831001  0600,18.5,-119.0,30
19831001  1200,19.9,-118.7,25
19831001  1800,21.3,-118.5,25
19831002  0000,22.3,-117.9,25
19831002  0600,23.2,-117.6,25
19831002  1200,24.0,-117.3,25
19830930  1800,11.8,-108.6,25
19831001  0000,12.0,-109.3,25
19831001  0600,12.2,-110.0,30
19831001  1200,12.5,-110.7,30
19831001  1800,12.7,-111.6,35
19831002  0000,12.9,-112.7,40
19831002  0600,13.2,-113.6,45
19831002  1200,13.4,-114.2,50
19831002  1800,13.6,-114.9,55
19831003  0000,13.8,-115.5,65
19831003  0600,14.1,-116.2,70
19831003  1200,14.4,-116.9,70
19831003  1800,14.7,-117.5,90
19831004  0000,15.1,-118.1,100
19831004  0600,15.6,-118.4,100
19831004  1200,16.4,-118.7,100
19831004  1800,17.4,-119.0,95
19831005  0000,18.4,-119.1,85
19831005  0600,19.3,-119.3,80
19831005  1200,20.2,-119.4,75
19831005  1800,21.4,-119.7,65
19831006  0000,22.5,-120.0,55
19831006  0600,23.6,-120.5,45
19831006  1200,24.9,-120.9,30
19831006  1800,26.0,-120.9,25
19831007  0000,26.9,-120.5,20
19831008  0600,12.4,-104.4,30
19831008  1200,12.3,-105.1,30
19831008  1800,12.3,-105.8,30
19831009  0000,12.3,-106.4,35
19831009  0600,12.3,-107.4,35
19831009  1200,12.3,-108.6,35
19831009  1800,12.3,-109.8,45
19831010  0000,12.2,-110.5,55
19831010  0600,12.1,-113.1,60
19831010  1200,12.0,-114.6,65
19831010  1800,11.9,-116.3,70
19831011  0000,12.0,-117.9,115
19831011  0600,12.1,-119.5,120
19831011  1200,12.4,-121.2,125
19831011  1800,12.7,-122.8,125
19831012  0000,13.0,-124.3,115
19831012  0600,13.5,-126.2,110
19831012  1200,13.8,-127.7,100
19831012  1800,14.3,-129.4,100
19831013  0000,14.8,-131.4,100
19831013  0600,15.2,-133.2,95
19831013  1200,15.6,-134.9,95
19831013  1800,16.1,-136.6,95
19831014  0000,16.6,-138.0,110
19831014  0600,16.8,-139.4,110
19831014  1200,17.1,-141.0,110
19831014  1800,17.4,-142.2,120
19831015  0000,17.6,-143.5,120
19831015  0600,18.1,-144.3,110
19831015  1200,18.5,-145.1,110
19831015  1800,19.0,-145.8,75
19831016  0000,19.4,-146.3,50
19831016  0600,19.8,-146.7,60
19831016  1200,20.1,-146.9,60
19831016  1800,20.3,-147.1,50
19831017  0000,20.4,-147.3,50
19831017  0600,20.8,-147.6,50
19831017  1200,21.3,-148.0,50
19831017  1800,21.7,-148.3,50
19831018  0000,22.2,-149.1,45
19831018  0600,22.3,-149.6,45
19831018  1200,22.3,-150.0,40
19831018  1800,22.3,-150.5,30
19831019  0000,22.1,-151.2,30
19831019  0600,21.8,-152.6,30
19831019  1200,21.5,-153.5,30
19831019  1800,21.2,-154.5,30
19831020  0000,20.9,-155.4,25
19831020  0600,21.0,-156.4,25
19831020  1200,21.3,-157.5,25
19831020  1800,22.0,-159.5,20
19831009  1800,13.4,-130.2,30
19831010  0000,13.8,-131.0,35
19831010  0600,14.2,-131.9,35
19831010  1200,14.5,-132.9,35
19831010  1800,14.6,-134.1,35
19831011  0000,14.6,-135.2,30
19831011  0600,14.4,-136.5,30
19831011  1200,14.3,-137.6,30
19831011  1800,14.2,-138.6,25
19831012  0000,13.9,-139.8,20
19831012  0600,13.5,-140.9,20
19831012  1200,13.1,-141.9,25
19831012  1800,12.7,-143.0,30
19831013  0000,12.3,-144.1,35
19831013  0600,11.8,-145.5,35
19831013  1200,11.6,-146.9,35
19831013  1800,11.3,-148.4,35
19831014  0000,11.2,-149.7,40
19831014  0600,11.0,-150.5,40
19831014  1200,10.6,-151.2,40
19831014  1800,10.0,-152.0,25
19831011  1200,8.5,-100.4,25
19831011  1800,8.7,-100.9,30
19831012  0000,8.8,-101.4,30
19831012  0600,9.1,-102.0,30
19831012  1200,9.4,-102.6,30
19831012  1800,10.2,-102.9,30
19831013  0000,11.2,-102.9,35
19831013  0600,12.1,-102.9,35
19831013  1200,13.0,-102.9,40
19831013  1800,13.8,-102.9,45
19831014  0000,14.2,-102.9,55
19831014  0600,14.7,-102.9,60
19831014  1200,15.3,-103.1,75
19831014  1800,15.7,-103.3,80
19831015  0000,16.1,-103.6,75
19831015  0600,16.2,-103.9,75
19831015  1200,16.3,-104.2,80
19831015  1800,16.5,-104.5,80
19831016  0000,16.8,-104.9,80
19831016  0600,17.1,-105.4,75
19831016  1200,17.2,-106.0,80
19831016  1800,17.3,-106.8,95
19831017  0000,17.4,-107.4,100
19831017  0600,17.5,-108.4,90
19831017  1200,17.5,-109.0,100
19831017  1800,17.6,-109.7,100
19831018  0000,17.9,-110.1,100
19831018  0600,18.3,-110.4,105
19831018  1200,18.8,-110.4,110
19831018  1800,19.3,-110.2,105
19831019  0000,20.1,-109.5,115
19831019  0600,21.1,-108.3,110
19831019  1200,22.3,-107.0,110
19831019  1800,23.5,-105.5,75
19831101  1800,7.9,-100.9,30
19831102  0000,7.9,-101.6,35
19831102  0600,8.0,-102.2,35
19831102  1200,8.0,-103.1,35
19831102  1800,8.2,-103.8,25
19831103  0000,8.3,-104.4,25
19831103  0600,8.5,-105.0,20
19831204  1200,12.9,-102.9,30
19831204  1800,13.9,-103.9,30
19831205  0000,14.5,-104.3,35
19831205  0600,15.3,-104.4,35
19831205  1200,16.1,-104.2,35
19831205  1800,16.6,-104.1,60
19831206  0000,17.0,-104.1,70
19831206  0600,17.0,-104.1,80
19831206  1200,17.0,-104.1,80
19831206  1800,17.0,-104.1,75
19831207  0000,17.0,-104.1,55
19831207  0600,17.0,-104.1,35
19831207  1200,17.0,-104.1,25
19840517  1800,9.0,-99.8,30
19840518  0000,9.0,-101.3,30
19840518  0600,9.1,-102.8,30
19840518  1200,9.2,-104.3,30
19840518  1800,9.3,-105.8,40
19840519  0000,9.5,-107.4,45
19840519  0600,9.5,-109.0,45
19840519  1200,9.5,-110.5,50
19840519  1800,9.5,-112.0,50
19840520  0000,9.5,-113.6,45
19840520  0600,9.5,-115.1,50
19840520  1200,9.5,-116.4,50
19840520  1800,9.5,-117.6,45
19840521  0000,9.5,-118.7,40
19840521  0600,9.5,-119.6,40
19840521  1200,9.5,-120.5,40
19840521  1800,9.6,-121.3,30
19840528  1800,11.6,-94.0,30
19840529  0000,11.7,-94.6,35
19840529  0600,12.0,-95.0,35
19840529  1200,12.3,-95.3,40
19840529  1800,12.7,-95.8,50
19840530  0000,13.0,-96.2,60
19840530  0600,13.2,-96.6,60
19840530  1200,13.4,-97.1,65
19840530  1800,13.5,-97.6,55
19840531  0000,13.5,-98.1,50
19840531  0600,13.6,-98.3,50
19840531  1200,13.6,-98.5,45
19840531  1800,13.6,-98.8,40
19840601  0000,13.7,-99.0,40
19840601  0600,13.5,-99.1,35
19840601  1200,13.4,-99.2,35
19840601  1800,13.2,-99.3,30
19840602  0000,12.9,-99.3,30
19840602  0600,12.6,-99.2,25
19840602  1200,12.3,-99.1,25
19840602  1800,12.1,-99.1,25
19840603  0000,11.8,-99.2,30
19840603  0600,11.7,-99.3,30
19840603  1200,11.5,-99.5,30
19840603  1800,11.3,-99.7,25
19840604  0000,11.2,-99.9,25
19840604  0600,11.4,-100.1,25
19840604  1200,11.8,-100.1,25
19840604  1800,12.3,-100.0,25
19840605  0000,12.9,-99.7,30
19840605  0600,13.6,-99.4,30
19840605  1200,14.4,-99.8,30
19840605  1800,14.6,-100.4,30
19840606  0000,14.7,-101.0,25
19840606  0600,14.8,-101.6,25
19840606  1200,14.5,-101.9,20
19840606  1800,14.5,-102.2,20
19840607  0000,14.5,-102.5,20
19840607  0600,14.4,-102.8,20
19840607  1200,14.4,-103.1,20
19840607  1800,14.4,-103.4,20
19840608  0000,14.4,-103.7,20
19840608  0600,14.4,-104.0,20
19840608  1200,14.3,-104.3,20
19840608  1800,14.3,-104.6,20
19840609  0000,14.3,-104.9,20
19840609  0600,14.3,-105.2,20
19840609  1200,14.3,-105.5,20
19840609  1800,14.2,-105.8,20
19840610  0000,14.2,-106.1,20
19840610  0600,14.2,-106.4,20
19840610  1200,14.2,-106.7,20
19840610  1800,14.2,-107.0,20
19840611  0000,14.1,-107.3,20
19840611  0600,14.1,-107.6,20
19840611  1200,14.1,-107.9,20
19840611  1800,14.1,-108.2,20
19840612  0000,14.1,-108.5,20
19840612  0600,14.0,-108.8,20
19840612  1200,14.0,-109.1,20
19840612  1800,14.1,-109.9,30
19840613  0000,14.1,-110.1,30
19840613  0600,14.0,-110.4,30
19840613  1200,14.0,-110.7,30
19840613  1800,14.1,-110.9,40
19840614  0000,14.3,-111.2,50
19840614  0600,14.5,-111.6,50
19840614  1200,14.8,-112.2,50
19840614  1800,15.6,-112.6,45
19840615  0000,16.3,-112.9,40
19840615  0600,17.0,-113.1,40
19840615  1200,17.7,-113.3,40
19840615  1800,18.4,-113.6,35
19840616  0000,18.9,-113.7,35
19840616  0600,19.3,-113.7,35
19840616  1200,19.5,-113.8,35
19840616  1800,19.7,-113.9,40
19840617  0000,19.9,-114.0,40
19840617  0600,20.1,-114.3,35
19840617  1200,20.2,-114.6,30
19840617  1800,20.3,-115.0,25
19840618  0000,20.3,-115.4,25
19840617  0600,14.0,-103.3,30
19840617  1200,14.0,-103.6,35
19840617  1800,14.0,-104.1,35
19840618  0000,14.0,-104.6,35
19840618  0600,14.0,-105.3,35
19840618  1200,14.0,-105.9,45
19840618  1800,14.0,-106.5,55
19840619  0000,14.1,-106.9,60
19840619  0600,14.2,-107.3,60
19840619  1200,14.3,-107.7,60
19840619  1800,14.4,-108.2,70
19840620  0000,14.7,-108.7,80
19840620  0600,14.8,-109.4,85
19840620  1200,14.8,-110.2,90
19840620  1800,14.6,-111.0,90
19840621  0000,14.5,-111.8,75
19840621  0600,14.6,-111.9,70
19840621  1200,14.8,-112.0,65
19840621  1800,15.1,-112.1,60
19840622  0000,15.5,-112.5,60
19840622  0600,16.0,-112.9,60
19840622  1200,16.4,-113.3,55
19840622  1800,16.9,-113.8,55
19840623  0000,17.3,-114.2,60
19840623  0600,17.8,-114.7,55
19840623  1200,18.3,-115.2,50
19840623  1800,18.8,-115.6,60
19840624  0000,19.4,-116.2,75
19840624  0600,19.8,-116.8,75
19840624  1200,20.0,-117.6,70
19840624  1800,20.1,-118.3,60
19840625  0000,20.2,-119.1,60
19840625  0600,20.2,-120.1,50
19840625  1200,20.5,-121.0,45
19840625  1800,21.0,-121.9,30
19840626  0000,21.5,-122.6,30
19840625  0000,10.3,-106.5,25
19840625  0600,10.3,-107.4,25
19840625  1200,10.4,-108.3,25
19840625  1800,10.4,-109.3,35
19840626  0000,10.5,-110.4,35
19840626  0600,10.6,-111.5,40
19840626  1200,10.9,-112.5,45
19840626  1800,11.3,-113.5,45
19840627  0000,11.9,-114.3,50
19840627  0600,12.4,-115.3,55
19840627  1200,12.6,-116.1,60
19840627  1800,12.7,-117.0,65
19840628  0000,12.8,-117.9,75
19840628  0600,13.0,-118.9,90
19840628  1200,13.2,-119.8,115
19840628  1800,13.4,-120.7,120
19840629  0000,13.8,-121.8,125
19840629  0600,14.0,-122.8,120
19840629  1200,14.3,-123.9,115
19840629  1800,14.6,-125.0,115
19840630  0000,14.9,-126.1,115
19840630  0600,15.1,-127.2,115
19840630  1200,15.3,-128.1,105
19840630  1800,15.6,-128.8,100
19840701  0000,15.9,-129.6,95
19840701  0600,16.3,-130.2,95
19840701  1200,16.7,-130.8,90
19840701  1800,17.1,-131.5,75
19840702  0000,17.4,-132.2,65
19840702  0600,17.7,-133.3,65
19840702  1200,17.7,-134.4,55
19840702  1800,17.8,-135.4,45
19840703  0000,17.8,-136.5,35
19840703  0600,17.8,-137.6,30
19840703  1200,17.9,-138.8,30
19840703  1800,18.1,-140.0,30
19840704  0000,18.3,-141.3,30
19840704  0600,18.5,-142.4,25
19840704  1200,18.9,-143.5,25
19840704  1800,19.2,-144.7,25
19840705  0000,19.6,-145.9,25
19840705  0600,19.8,-146.5,25
19840705  1200,20.0,-147.0,25
19840705  1800,20.2,-147.5,25
19840706  0000,20.4,-148.0,25
19840706  0600,20.5,-148.3,25
19840706  1200,20.6,-148.5,25
19840706  1800,20.7,-148.7,25
19840628  0000,10.1,-101.8,25
19840628  0600,10.2,-102.6,25
19840628  1200,10.4,-103.3,25
19840628  1800,10.5,-104.0,25
19840629  0000,10.9,-104.8,30
19840629  0600,11.7,-105.6,30
19840629  1200,12.5,-106.3,35
19840629  1800,13.2,-107.0,45
19840630  0000,13.9,-107.6,60
19840630  0600,14.3,-108.3,75
19840630  1200,14.6,-109.1,80
19840630  1800,15.0,-109.9,90
19840701  0000,15.3,-110.6,105
19840701  0600,15.5,-111.4,110
19840701  1200,15.7,-112.0,115
19840701  1800,15.9,-112.8,110
19840702  0000,16.0,-113.6,95
19840702  0600,16.1,-114.3,90
19840702  1200,16.2,-115.1,85
19840702  1800,16.4,-116.0,95
19840703  0000,16.6,-116.9,100
19840703  0600,16.8,-117.8,100
19840703  1200,17.0,-118.7,100
19840703  1800,17.0,-119.6,100
19840704  0000,17.0,-120.6,95
19840704  0600,16.9,-121.4,85
19840704  1200,16.8,-122.0,65
19840704  1800,16.7,-122.5,55
19840705  0000,16.6,-122.8,50
19840705  0600,16.3,-123.1,45
19840705  1200,15.9,-123.3,45
19840705  1800,15.5,-123.5,40
19840706  0000,15.1,-123.7,30
19840706  0600,15.0,-123.7,30
19840706  1200,14.8,-123.6,30
19840706  1800,14.9,-123.3,30
19840707  0000,15.0,-123.0,30
19840707  0600,15.1,-122.6,25
19840707  1200,15.2,-122.0,25
19840707  1800,15.3,-121.2,25
19840708  0000,15.4,-120.4,25
19840708  0600,15.4,-119.5,25
19840708  1200,15.6,-117.2,25
19840708  1800,15.8,-115.8,25
19840703  1200,15.8,-103.9,30
19840703  1800,16.1,-104.0,40
19840704  0000,16.4,-105.5,45
19840704  0600,16.7,-106.1,50
19840704  1200,17.0,-106.6,55
19840704  1800,17.3,-107.0,65
19840705  0000,17.5,-107.5,75
19840705  0600,17.6,-107.7,80
19840705  1200,17.8,-108.0,80
19840705  1800,17.9,-108.1,90
19840706  0000,18.2,-108.3,95
19840706  0600,18.7,-108.6,95
19840706  1200,19.3,-108.8,95
19840706  1800,19.9,-109.1,90
19840707  0000,20.3,-109.6,90
19840707  0600,20.7,-110.1,90
19840707  1200,21.1,-110.4,90
19840707  1800,21.5,-110.7,85
19840708  0000,22.0,-111.3,80
19840708  0600,22.7,-112.0,70
19840708  1200,23.3,-112.7,55
19840708  1800,23.9,-113.5,45
19840709  0000,24.0,-114.6,40
19840709  0600,24.0,-115.5,30
19840709  1200,23.9,-116.2,30
19840709  1800,23.9,-117.0,25
19840710  0000,23.9,-117.8,25
19840707  0600,10.5,-95.5,30
19840707  1200,10.9,-96.1,30
19840707  1800,11.3,-96.8,35
19840708  0000,11.7,-97.8,40
19840708  0600,11.7,-98.8,50
19840708  1200,12.0,-99.7,60
19840708  1800,12.3,-100.4,65
19840709  0000,13.0,-101.4,65
19840709  0600,13.7,-102.2,75
19840709  1200,14.5,-103.2,90
19840709  1800,15.3,-104.3,90
19840710  0000,16.1,-105.1,90
19840710  0600,17.0,-106.1,90
19840710  1200,17.9,-107.0,90
19840710  1800,18.8,-107.8,100
19840711  0000,19.4,-108.4,100
19840711  0600,20.0,-108.9,90
19840711  1200,20.4,-109.0,80
19840711  1800,20.7,-109.0,65
19840712  0000,20.9,-109.0,65
19840712  0600,21.1,-109.0,55
19840712  1200,21.3,-109.1,50
19840712  1800,21.4,-109.3,50
19840713  0000,21.7,-109.6,50
19840713  0600,21.8,-110.0,45
19840713  1200,22.0,-110.3,35
19840713  1800,22.2,-110.6,35
19840714  0000,22.7,-110.8,30
19840714  0600,23.5,-110.9,25
19840714  1200,24.3,-111.0,25
19840727  1200,16.0,-110.6,25
19840727  1800,16.4,-111.4,30
19840728  0000,16.6,-112.3,35
19840728  0600,16.9,-113.1,35
19840728  1200,17.0,-114.0,35
19840728  1800,17.2,-115.0,35
19840729  0000,17.3,-115.9,35
19840729  0600,17.4,-116.7,35
19840729  1200,17.5,-117.6,45
19840729  1800,17.5,-118.4,35
19840730  0000,17.5,-119.2,35
19840730  0600,17.4,-120.0,35
19840730  1200,17.5,-120.7,30
19840730  1800,17.5,-121.5,30
19840731  0000,17.6,-122.2,30
19840731  0600,17.5,-122.9,30
19840731  1200,17.4,-123.6,25
19840731  1800,17.3,-124.2,25
19840801  0000,17.1,-125.1,25
19840803  1800,14.0,-96.4,30
19840804  0000,14.1,-97.2,30
19840804  0600,14.2,-97.9,30
19840804  1200,14.3,-98.7,30
19840804  1800,14.4,-99.3,40
19840805  0000,14.6,-100.0,40
19840805  0600,14.8,-100.7,40
19840805  1200,15.0,-101.5,50
19840805  1800,15.4,-102.5,55
19840806  0000,16.0,-103.5,60
19840806  0600,16.6,-104.5,65
19840806  1200,16.8,-105.6,65
19840806  1800,17.0,-106.9,75
19840807  0000,17.2,-108.1,75
19840807  0600,17.4,-109.3,75
19840807  1200,17.7,-110.6,75
19840807  1800,17.9,-112.0,75
19840808  0000,18.0,-113.1,80
19840808  0600,18.1,-114.0,85
19840808  1200,18.2,-114.8,100
19840808  1800,18.3,-115.5,115
19840809  0000,18.5,-116.3,115
19840809  0600,18.8,-117.0,110
19840809  1200,19.1,-117.7,95
19840809  1800,19.5,-118.2,85
19840810  0000,20.0,-118.7,75
19840810  0600,20.5,-119.2,75
19840810  1200,21.3,-119.8,70
19840810  1800,22.1,-120.4,70
19840811  0000,22.9,-121.0,65
19840811  0600,23.7,-121.7,55
19840811  1200,24.3,-122.3,50
19840811  1800,24.9,-122.9,40
19840812  0000,25.4,-123.5,35
19840812  0600,25.8,-124.0,30
19840812  1200,26.4,-124.2,30
19840815  0000,14.5,-98.8,25
19840815  0600,14.5,-99.5,25
19840815  1200,14.6,-100.4,25
19840815  1800,15.0,-101.3,35
19840816  0000,15.4,-102.1,35
19840816  0600,15.8,-102.7,45
19840816  1200,16.1,-103.3,50
19840816  1800,16.5,-103.9,50
19840817  0000,16.8,-104.5,50
19840817  0600,17.2,-105.0,55
19840817  1200,17.6,-105.5,45
19840817  1800,17.9,-105.9,30
19840818  0000,18.3,-106.3,30
19840818  0600,18.7,-106.7,30
19840818  1200,18.9,-106.9,30
19840818  1800,19.1,-107.1,25
19840819  0000,19.3,-107.4,25
19840819  0600,19.5,-107.6,25
19840819  1200,19.7,-107.8,25
19840819  1800,19.9,-108.0,25
19840820  0000,20.0,-108.1,25
19840820  0600,20.0,-108.3,25
19840820  1200,19.7,-108.5,25
19840816  1800,9.2,-150.1,30
19840817  0000,9.4,-151.4,35
19840817  0600,9.7,-153.0,45
19840817  1200,10.1,-154.7,45
19840817  1800,10.5,-156.4,50
19840818  0000,10.9,-158.0,60
19840818  0600,11.3,-159.6,70
19840818  1200,11.7,-161.2,75
19840818  1800,11.9,-162.9,80
19840819  0000,12.0,-164.4,80
19840819  0600,12.2,-165.6,80
19840819  1200,12.6,-166.9,80
19840819  1800,13.2,-167.8,85
19840820  0000,13.9,-168.6,90
19840820  0600,14.6,-169.5,100
19840820  1200,15.5,-170.1,90
19840820  1800,16.2,-170.4,75
19840821  0000,16.7,-170.9,60
19840821  0600,17.0,-171.2,45
19840821  1200,17.1,-171.7,40
19840821  1800,17.1,-172.2,35
19840822  0000,17.0,-172.8,30
19840816  1800,12.4,-134.3,30
19840817  0000,12.5,-135.1,35
19840817  0600,12.5,-136.0,35
19840817  1200,12.5,-136.8,35
19840817  1800,12.5,-137.8,40
19840818  0000,12.6,-138.8,40
19840818  0600,12.6,-139.6,40
19840818  1200,12.4,-141.0,45
19840818  1800,12.2,-142.2,50
19840819  0000,12.0,-143.2,45
19840819  0600,12.0,-144.0,45
19840819  1200,12.1,-144.8,45
19840819  1800,12.2,-145.4,45
19840820  0000,12.3,-146.0,45
19840820  0600,12.3,-146.5,45
19840820  1200,12.2,-147.0,45
19840820  1800,12.2,-147.4,35
19840821  0000,12.1,-147.7,35
19840821  0600,12.1,-147.7,30
19840821  1200,12.1,-147.7,30
19840821  1800,12.1,-147.7,25
19840823  1800,11.1,-130.3,25
19840824  0000,11.2,-131.1,30
19840824  0600,11.2,-132.0,30
19840824  1200,11.1,-133.0,30
19840824  1800,11.2,-134.2,30
19840825  0000,11.3,-135.5,30
19840825  0600,11.4,-136.4,30
19840825  1200,11.4,-137.3,30
19840825  1800,11.3,-138.2,30
19840826  0000,11.2,-139.3,30
19840826  0600,11.1,-140.5,30
19840826  1200,11.2,-141.3,30
19840826  1800,11.4,-142.1,30
19840827  0000,11.5,-142.8,30
19840827  0600,11.5,-143.4,30
19840827  1200,11.5,-144.0,30
19840827  1800,11.5,-144.5,30
19840828  0000,11.5,-145.0,30
19840828  0600,11.5,-145.5,30
19840828  1200,11.5,-146.0,30
19840828  1800,11.5,-146.5,30
19840829  0000,11.6,-147.0,30
19840829  0600,11.8,-147.3,30
19840829  1200,12.2,-147.6,35
19840829  1800,12.4,-147.8,40
19840830  0000,12.8,-148.1,45
19840830  0600,13.1,-148.4,40
19840830  1200,13.4,-148.8,40
19840830  1800,13.8,-149.1,35
19840831  0000,14.2,-149.5,30
19840831  0600,14.7,-150.1,30
19840831  1200,15.1,-150.9,30
19840831  1800,15.6,-152.0,30
19840901  0000,16.0,-153.4,30
19840901  0600,16.0,-154.8,30
19840901  1200,15.8,-156.1,30
19840901  1800,15.5,-158.0,30
19840902  0000,15.4,-160.0,30
19840902  0600,15.4,-161.6,30
19840902  1200,15.4,-163.1,30
19840902  1800,15.4,-164.5,25
19840826  0600,15.6,-114.1,25
19840826  1200,15.7,-114.8,25
19840826  1800,15.8,-115.7,35
19840827  0000,16.0,-116.8,35
19840827  0600,16.2,-117.8,40
19840827  1200,16.5,-118.9,55
19840827  1800,16.7,-120.0,65
19840828  0000,17.0,-120.9,65
19840828  0600,17.4,-121.6,70
19840828  1200,17.8,-122.6,75
19840828  1800,18.7,-123.7,65
19840829  0000,19.7,-124.7,65
19840829  0600,20.6,-125.6,55
19840829  1200,21.7,-126.7,50
19840829  1800,22.7,-127.5,40
19840830  0000,23.8,-128.7,30
19840830  0600,24.8,-129.9,25
19840904  0600,29.3,-178.7,45
19840904  1200,30.4,-178.2,45
19840904  1800,31.4,-177.9,45
19840905  0000,32.5,-177.7,35
19840905  1200,16.8,-104.4,30
19840905  1800,17.2,-105.3,45
19840906  0000,17.6,-106.1,50
19840906  0600,18.0,-107.3,55
19840906  1200,18.7,-108.3,60
19840906  1800,19.3,-109.5,60
19840907  0000,20.0,-110.6,65
19840907  0600,20.8,-111.6,75
19840907  1200,21.5,-112.3,75
19840907  1800,22.4,-112.9,75
19840908  0000,23.4,-113.3,80
19840908  0600,24.3,-113.9,80
19840908  1200,25.0,-115.0,75
19840908  1800,25.9,-115.9,70
19840909  0000,27.0,-116.2,70
19840909  0600,28.0,-117.0,65
19840909  1200,28.6,-118.0,55
19840909  1800,29.0,-119.0,45
19840910  0000,29.3,-119.6,40
19840910  0600,29.8,-120.0,35
19840910  1200,30.2,-120.3,30
19840910  1800,30.4,-120.5,25
19840911  0000,30.5,-120.6,20
19840914  1800,18.5,-115.5,30
19840915  0000,18.1,-115.5,35
19840915  0600,17.9,-115.2,35
19840915  1200,17.8,-115.0,35
19840915  1800,17.7,-114.8,35
19840916  0000,17.5,-114.3,35
19840916  0600,17.3,-113.7,35
19840916  1200,17.2,-113.0,65
19840916  1800,17.1,-112.5,70
19840917  0000,17.1,-112.0,75
19840917  0600,17.4,-111.8,80
19840917  1200,17.7,-111.7,80
19840917  1800,17.9,-111.8,85
19840918  0000,18.3,-112.0,100
19840918  0600,18.6,-112.5,100
19840918  1200,18.9,-112.9,100
19840918  1800,19.1,-113.4,100
19840919  0000,19.4,-113.9,100
19840919  0600,19.5,-114.6,100
19840919  1200,19.6,-115.1,100
19840919  1800,19.5,-115.8,100
19840920  0000,19.4,-116.3,100
19840920  0600,18.9,-116.7,100
19840920  1200,18.3,-116.7,110
19840920  1800,17.8,-116.5,105
19840921  0000,17.3,-116.1,115
19840921  0600,16.9,-115.4,105
19840921  1200,16.6,-114.4,105
19840921  1800,16.5,-113.3,105
19840922  0000,16.5,-111.9,115
19840922  0600,16.5,-110.8,105
19840922  1200,16.6,-109.7,105
19840922  1800,17.0,-108.9,115
19840923  0000,17.4,-108.4,115
19840923  0600,17.8,-108.3,110
19840923  1200,18.3,-108.3,105
19840923  1800,18.8,-108.7,105
19840924  0000,19.3,-109.1,110
19840924  0600,19.9,-109.6,115
19840924  1200,20.7,-110.3,115
19840924  1800,21.5,-111.1,100
19840925  0000,22.3,-112.0,90
19840925  0600,23.1,-112.6,105
19840925  1200,24.1,-113.1,105
19840925  1800,25.1,-113.5,75
19840926  0000,26.1,-113.6,60
19840926  0600,27.1,-113.5,45
19840917  1800,14.3,-101.5,30
19840918  0000,14.5,-102.2,35
19840918  0600,14.7,-102.9,35
19840918  1200,15.0,-103.6,35
19840918  1800,15.2,-104.1,40
19840919  0000,15.4,-104.5,45
19840919  0600,15.7,-104.9,50
19840919  1200,16.0,-105.0,55
19840919  1800,16.3,-104.7,55
19840920  0000,16.5,-104.5,65
19840920  0600,16.6,-104.1,65
19840920  1200,16.6,-103.6,65
19840920  1800,16.6,-103.2,65
19840921  0000,16.6,-102.6,65
19840921  0600,16.4,-101.9,65
19840921  1200,16.3,-101.2,65
19840921  1800,16.4,-100.9,80
19840922  0000,16.4,-100.8,80
19840922  0600,16.5,-100.7,90
19840922  1200,17.0,-102.0,85
19840922  1800,18.0,-102.0,50
19840923  0000,19.0,-102.0,25
19840926  0000,12.9,-97.6,25
19840926  0600,12.8,-98.2,25
19840926  1200,12.7,-98.8,25
19840926  1800,12.6,-99.5,25
19840927  0000,12.5,-100.4,25
19840927  0600,12.4,-101.3,25
19840927  1200,12.3,-102.4,25
19840927  1800,12.2,-103.5,25
19840928  0000,12.3,-104.2,30
19840928  0600,12.4,-104.8,30
19840928  1200,12.7,-105.5,30
19840928  1800,13.0,-106.2,40
19840929  0000,13.4,-106.7,50
19840929  0600,13.9,-107.3,55
19840929  1200,14.4,-107.9,55
19840929  1800,15.1,-108.6,60
19840930  0000,15.6,-109.3,65
19840930  0600,16.1,-110.0,70
19840930  1200,16.7,-110.7,75
19840930  1800,17.3,-111.5,75
19841001  0000,18.0,-112.5,75
19841001  0600,18.6,-113.4,75
19841001  1200,19.4,-114.1,100
19841001  1800,20.0,-114.5,100
19841002  0000,20.8,-114.4,100
19841002  0600,21.7,-114.2,100
19841002  1200,22.2,-113.8,90
19841002  1800,22.6,-113.1,50
19841003  0000,23.2,-112.3,40
19841003  0600,23.8,-111.3,30
19841003  1200,24.5,-109.9,30
19841007  1800,11.2,-97.0,25
19841008  0000,11.3,-98.0,25
19841008  0600,11.4,-99.0,25
19841008  1200,11.4,-100.0,25
19841008  1800,11.5,-101.0,25
19841009  0000,11.6,-102.1,30
19841009  0600,11.8,-103.0,35
19841009  1200,11.9,-103.8,45
19841009  1800,12.1,-104.5,50
19841010  0000,12.3,-105.2,50
19841010  0600,12.6,-105.9,55
